Oggetto	Risorsa Stringa	Pannello	Descrizione	it-IT	en-US	de-DE	fr-FR	es-ES	sk-SK
Button	Btn_Close_Change_Default	Default		CHIUDI	CLOSE	SCHLIESSEN	FERMER	CERRAR	ZATVORI?
Button	Btn_Close_PatternForCutting	Pattern		CHIUDI	CLOSE	SCHLIESSEN	FERMER	CERRAR	ZATVORI?
Button	Btn_PatternForCutting_StoreFiles	Pattern		ARCHIVIO	ARCHIVE	ARCHIV	ARCHIVE	ARCHIVO	ARCHÍV
Button	Btn_Connections_Interface_Close	Connection Interface		CHIUDI	CLOSE	SCHLIESSEN	FERMER	CERRAR	ZATVORI?
Button	Btn_Exist_Monitor_Close	Exist Monitor		CHIUDI	CLOSE	SCHLIESSEN	FERMER	CERRAR	ZATVORI?
Button	Btn_SetCutting_Programs_Monitor_Show	Exist Monitor		MOSTRA MONITOR	SHOW MONITOR	MONITOR ANZEIGEN	AFFICHER LE MONITEUR	VISUALIZAR MONITOR	ZOBRAZENIE MONITORA
Button	Btn_General_Diagnostic_Close	Diagnostica Generale		CHIUDI	CLOSE	SCHLIESSEN	FERMER	CERRAR	ZATVORI?
Button	Btn_LanguageList_Close	Lista Lingue		CHIUDI	CLOSE	SCHLIESSEN	FERMER	CERRAR	ZATVORI?
Button	Btn_Maintenance_Close	Manutenzione		CHIUDI	CLOSE	SCHLIESSEN	FERMER	CERRAR	CLOSE
Button	Btn_MessageBox_Exit_App	Spegni Macchina		Esci dalla APP	Exit the APP	Verlasse die APP	Quitter l'APP	Salir de la APP	Ukon?enie APLIKÁCIE
Button	Btn_MessageBox_No	Spegni Macchina		NO	NO	NEIN	NON	NO	NIE
Button	Btn_MessageBox_Restart_Yes	Spegni Macchina		Riavvia la macchina	Restart machine	Starten Sie die Maschine neu	Redemarrer la machine	Reiniciar la máquina	Reštartova? zariadenie
Button	Btn_MessageBox_Yes	Spegni Macchina		Spegni la macchina	Turn Off machine	Maschine ausschalten	Eteindre la machine	Apagar la máquina	Vypnite zariadenie
Button	Btn_MessageBox_App_Restart	Spegni Macchina		Riavvia l'applicazione	Restart the application	Starten Sie die Anwendung neu	Redemarrez l'application	Reiniciar la aplicación	Reštartujte aplikáciu
Button	Btn_MotionDiagnostic_ApplyChoices_for_Blade	Motion Diag.		LAMA	BLADE	HOBELMESSER	LAME	LAMA	LAMA
Button	Btn_MotionDiagnostic_ApplyChoices_for_Carriadge	Motion Diag.		CARRO	CARRIAGE	SCHNEIDEWAGEN	CART	CARRO	CART
Button	Btn_MotionDiagnostic_ApplyChoices_for_Chain	Motion Diag.		CATENA	CHAIN	KETTE	CHAINE	CADENA	CHAIN
Button	Btn_MotionDiagnostic_ApplyChoices_for_CuttingCycle	Motion Diag.		CICLO DI TAGLO	CUTTING CYCLE	SCHNEIDZYKLUS	CYCLE DE COUPE	CICLO DE CORTE	CYKLUS REZANIA
Button	Btn_MotionDiagnostic_ApplyChoices_for_Plate	Motion Diag.		PIATTO	PLATE	FLACHE	PLATE	PLACA	PLATE
Button	Btn_MotionDiagnostic_ApplyChoices_for_SliceDetacher	Motion Diag.		STACCAFETTA	DETACHER	GETEILTE	PARTAGÉE	CADENA DE CORTE	REZACÍ PÁSIK
Button	Btn_Product_Master_Data_Cancel	Scelta Prodotto		CANCELLA	CLEAR	CLEAR	ANNULER	BORRAR	DELETE
Button	Btn_Product_Master_Data_Close	Scelta Prodotto		CHIUDI	CLOSE	SCHLIESSEN	FERMER	CERRAR	CLOSE
Button	Btn_Product_Master_Data_ConfirmChoices	Scelta Prodotto		CONFERMA	CONFIRM	CONFIRM	CONFIRMER	CONFIRMAR	POTVRDI?
Button	Btn_Product_Master_Data_Edit	Scelta Prodotto		EDITA	EDIT	EDIT	EDIT	EDITAR	UPRAVI?
Button	Btn_Product_Master_Data_Save	Scelta Prodotto		SALVA	SAVE	SPAREN	SAUVER	GUARDAR	SAVE
Button	Btn_Save_Change_Default	Default		SALVA	SAVE	SPAREN	SAUVER	GUARDAR	SAVE
Button	Btn_Save_MotionDiagnostic	Motion Diag.		CHIUDI	CLOSE	SCHLIESSEN	FERMER	CERRAR	CLOSE
Button	Btn_Save_PatternForCutting	Pattern		SALVA	SAVE	SPAREN	SAUVER	GUARDAR	ULOŽI?
Button	Btn_SelectTable_BladeRPM	Nuovo Programma		GIRI LAMA	BLADE SPEED	KLINGE RPM	VITESSE DE LA LAME	GIROS DE CUCHILLA	OTO?ENIE ?EPELE
Button	Btn_SelectTable_CarriageSpeed	Nuovo Programma		FETTE / MIN	SLICES / MIN	SCHEIBEN / MIN	TRANCHES / MIN	HOJAS / MIN	LISTY / MIN
Button	Btn_SelectTable_Parameters_SetCutting_Execute	Principale		ESEGUI	RUN	LAUF	EXECUTER	EJECUTAR	EXECUTE
Button	Btn_SelectTable_Pattern	Nuovo Programma		PATTERN	PATTERN	MUSTER	MODÈLE	PATRÓN	PATTERN
Button	Btn_SelectTable_Product_Master_Data	Nuovo Programma		PRODOTTO	PRODUCT	PRODUKT	PRODUIT	PRODUCTO	PRODUCT
Button	Btn_SelectTable_SetCutting_Exists	Principale		ESISTENTE	EXISTS	BESTEHENDEN	EXISTANT	EXISTENTE	EXISTUJÚCE
Button	Btn_SelectTable_SetCutting_New	Principale		NUOVO	NEW	NEW	NOUVEAU	NUEVO	NOVÝ
Button	Btn_SelectTable_Slices	Nuovo Programma		QUANTITA'	QUANTITY	MENGE	QUANTITE'	CANTIDAD	KVANTITA
Button	Btn_SelectTable_ThicknessSlices	Nuovo Programma		SPESSORE	THICKNESS	DICKE	EPAISSEUR	GROSOR	H?BKA
Button	Btn_SelectTable_UserSetup_ChangeDefault	Menu User		DEFAULT	DEFAULT	DEFAULT	DEFAUT	POR DEFECTO	DEFAULT
Button	Btn_SelectTable_UserSetup_Motion_Verify	Menu User		MOTION DIAG.	MOTION DIAG.	MOTION DIAG.	MOTION DIAG.	DIAG. MOVIMIENTO	MOTION DIAG.
Button	Btn_SelectTable_UserSetup_PatternForCutting	Menu User		PATTERN	PATTERN	MUSTER	MODELE	PATRÓN	PATTERN
Button	Btn_SelectTable_UserSetup_Setting_Generics	Menu User		GENERALE	GENERAL	GENERAL	GENERAL	GENERAL	VŠEOBECNÉ
Button	Btn_SelectTable_UserSetup_Settings_Sensors	Menu User		SENSORI	SENSORS	SENSOREN	CAPTEURS	SENSORES	SENZORY
Button	Btn_SelectTable_UserSetup_User_MasterData	Menu User		OPERATORI	OPERATORS	BETREIBER	OPERATEURS	OPERADORES	OPERÁTORY
Button	Btn_SelectTable_UserSetup_Diagnostic_Error_Table	Menu User		DIAGNOSTICA	DIAGNOSTICS	DIAGNOSE	DIAGNOSTIC	DIAGNÓSTICO	DIAGNOSTIKA
Button	Btn_SelectTable_UserSetup_Motion_Verify	Menu User		MOTION DIAG.	MOTION DIAG.	MOTION DIAG.	MOTION DIAG.	DIAGNÓSTICO MOV.	DIAGNOSTIKA POHYBU
Button	Btn_SetCutting_Programs_ConfirmSelection	Seleziona Esistente		ESEGUI	RUN	LAUF	EXECUTER	EJECUTAR	EXECUTE
Button	Btn_SetCutting_Programs_Tap_Cancel	Seleziona Esistente		ANNULLA	CANCEL	ZURÜCK	ANNULER	CANCELAR	CANCEL
Button	Btn_SettingsGenerics_Close	Impostazioni: Generale		CHIUDI	CLOSE	SCHLIESSEN	FERMER	CERRAR	CLOSE
Button	Btn_SettingsSensors_Encoder_Close	Impostazione Sensori		CHIUDI	CLOSE	SCHLIESSEN	FERMER	CERRAR	CLOSE
Button	Btn_SettingsSensors_Encoder_Close1	Info : Versioni		CHIUDI	CLOSE	SCHLIESSEN	FERMER	CERRAR	CLOSE
Button	Btn_SettingsSensors_Potentiometer_Sail_Max_Copy_Value	Impostazione Sensori		COPIA	COPY	KOPIERE	COPIER	COPIA	KOPÍROVANIE
Button	Btn_SettingsSensors_Potentiometer_Sail_Min_Copy_Value	Impostazione Sensori		COPIA	COPY	KOPIERE	COPIER	COPIA	KOPÍROVANIE
Button	Btn_SettingsSensors_Potentiometer_Sail_Offset_Copy_Value	Impostazione Sensori		COPIA	COPY	KOPIERE	COPIER	COPIA	COPY
