Nome Pattern	Dimensione Piatto X	Dimensione Piatto Y	Area Utile X	Area Utile Y	Area Utile Z	Offset dell'Area Utile X	Offset dell'Area Utile Y	Offset dell'Area Utile Z	Dimensione Oggetto X	Dimensione Oggetto Y	Forma dell'oggetto	Numero Oggetti X	Numero Oggetti Y	Profilo	Immagine : Dimensione	Immagine : Forma	Immagine : Disposizione	Diametro Rosa	Numero di Rose in Orizzontale	Numero di Rose in Verticale	Spaziatura tra le Rose in Orizzontale	Spaziatura tra le Rose in Verticale	Spaziatura tra le fette della Pila in Verticale	Offset del punto in X	Offset del punto in Y
PIC_PIG_2_VERT	310	350	300	150	80	0	0	0	60	60	RT:   RETTANGOLARE	1	2	PILA	/Assets/Pattern/Dimensione/Dimensione_Piccolo_60mm.jpg	/Assets/Pattern/Forme/FormaPilaCentrale.jpg	/Assets/Pattern/Disposizione/DisposizionePilaDoppiaVerticale.jpg	0	1	1	0	0	0.5	30	5
PIC_ROSA_CENTR	310	350	300	250	80	0	0	0	60	60	RT:   RETTANGOLARE	12	1	ROSA	/Assets/Pattern/Dimensione/Dimensione_Piccolo_60mm.jpg	/Assets/Pattern/Forme/FormaFetteCircolare.jpg	/Assets/Pattern/Disposizione/FetteDisposizioneCircolare.jpg	120	1	1	20	0	0	50	-35
PIC_SF_3_VERT	310	350	200	175	80	90	0	0	60	60	RT:   RETTANGOLARE	3	8	RETTANGOLARE	/Assets/Pattern/Dimensione/Dimensione_Piccolo_60mm.jpg	/Assets/Pattern/Forme/FormaVerticaleCentrata.jpg	/Assets/Pattern/Disposizione/FetteDisposteLarghe_FilaTripla.jpg	0	1	1	0	0	0	-60	30
MED_SF_2_VERT	310	350	250	240	80	0	0	0	120	120	RT:   RETTANGOLARE	2	8	RETTANGOLARE	/Assets/Pattern/Dimensione/Dimensione_Medio_120mm.jpg	/Assets/Pattern/Forme/FormaVerticaleCentrata.jpg	/Assets/Pattern/Disposizione/FetteDisposteLarghe_FilaDoppia.jpg	0	1	1	0	0	0	-10	65
MED_SF_1_VERT	310	350	300	240	80	0	0	0	120	120	RT:   RETTANGOLARE	1	8	RETTANGOLARE	/Assets/Pattern/Dimensione/Dimensione_Medio_120mm.jpg	/Assets/Pattern/Forme/FormaVerticaleCentrata.jpg	/Assets/Pattern/Disposizione/FetteDisposteLarghe_FilaSingola.jpg	0	1	1	0	0	0	-10	65
MED_SF_1_ORIZ	310	350	250	250	80	0	0	0	120	120	RT:   RETTANGOLARE	8	1	RETTANGOLARE	/Assets/Pattern/Dimensione/Dimensione_Medio_120mm.jpg	/Assets/Pattern/Forme/FormaOrizzontaleCentrata.jpg	/Assets/Pattern/Disposizione/FetteDisposteLarghe_FilaSingola_90g.jpg	0	1	1	0	0	0	-10	-70
MED_ROSA_CENTR	310	350	250	250	80	0	0	0	120	120	RT:   RETTANGOLARE	8	1	ROSA	/Assets/Pattern/Dimensione/Dimensione_Medio_120mm.jpg	/Assets/Pattern/Forme/FormaFetteCircolare.jpg	/Assets/Pattern/Disposizione/FetteDisposizioneCircolare.jpg	120	1	1	20	0	0	10	-5
MED_PIG_1_CENTR	310	350	300	250	80	0	0	0	120	120	RT:   RETTANGOLARE	1	1	PILA	/Assets/Pattern/Dimensione/Dimensione_Medio_120mm.jpg	/Assets/Pattern/Forme/FormaPilaCentrale.jpg	/Assets/Pattern/Disposizione/DisposizionePilaCentrale.jpg	0	1	1	0	0	0.5	-15	-70
MED_PIG_2_VERT	310	350	300	240	80	0	0	0	120	120	RT:   RETTANGOLARE	1	2	PILA	/Assets/Pattern/Dimensione/Dimensione_Medio_120mm.jpg	/Assets/Pattern/Forme/FormaPilaCentrale.jpg	/Assets/Pattern/Disposizione/DisposizionePilaDoppiaVerticale.jpg	0	1	1	0	0	0	-10	65
MED_PIG_2_ORIZ	310	350	240	250	80	0	0	0	120	120	RT:   RETTANGOLARE	2	1	PILA	/Assets/Pattern/Dimensione/Dimensione_Medio_120mm.jpg	/Assets/Pattern/Forme/FormaPilaCentrale.jpg	/Assets/Pattern/Disposizione/DisposizionePilaDoppia_90g.jpg	0	1	1	0	0	0.5	-10	-70
PIC_SF_1_VERT	310	350	250	175	80	0	0	0	60	60	RT:   RETTANGOLARE	1	8	RETTANGOLARE	/Assets/Pattern/Dimensione/Dimensione_Piccolo_60mm.jpg	/Assets/Pattern/Forme/FormaVerticaleCentrata.jpg	/Assets/Pattern/Disposizione/FetteDisposteLarghe_FilaSingola.jpg	115	1	1	0	0	0	55	30
PIC_SF_2_VERT	310	350	150	175	80	80	0	0	60	60	RT:   RETTANGOLARE	2	8	RETTANGOLARE	/Assets/Pattern/Dimensione/Dimensione_Piccolo_60mm.jpg	/Assets/Pattern/Forme/FormaVerticaleCentrata.jpg	/Assets/Pattern/Disposizione/FetteDisposteLarghe_FilaDoppia.jpg	0	1	1	0	0	0	-40	30
PIC_SF_1_ORIZ	310	350	250	250	80	0	0	0	60	60	RT:   RETTANGOLARE	8	1	RETTANGOLARE	/Assets/Pattern/Dimensione/Dimensione_Piccolo_60mm.jpg	/Assets/Pattern/Forme/FormaOrizzontaleCentrata.jpg	/Assets/Pattern/Disposizione/FetteDisposteLarghe_FilaSingola_90g.jpg	0	1	1	0	0	0	20	-90
PIC_PIG_2_ORIZ	310	350	170	250	80	20	0	0	60	60	RT:   RETTANGOLARE	2	1	PILA	/Assets/Pattern/Dimensione/Dimensione_Piccolo_60mm.jpg	/Assets/Pattern/Forme/FormaPilaCentrale.jpg	/Assets/Pattern/Disposizione/DisposizionePilaDoppia_90g.jpg	0	1	1	0	0	0.5	20	-90
PIC_PIG_4_CENTR	310	350	170	150	80	20	0	0	60	60	RT:   RETTANGOLARE	2	2	PILA	/Assets/Pattern/Dimensione/Dimensione_Piccolo_60mm.jpg	/Assets/Pattern/Forme/FormaPilaCentrale.jpg	/Assets/Pattern/Disposizione/DisposizionePila_2_x_2_90g.jpg	0	1	1	0	0	0.5	20	5
GRA_SF_1_VERT	310	350	300	250	80	0	0	0	180	180	RT:   RETTANGOLARE	1	8	RETTANGOLARE	/Assets/Pattern/Dimensione/Dimensione_Grande_180mm.jpg	/Assets/Pattern/Forme/FormaVerticaleCentrata.jpg	/Assets/Pattern/Disposizione/FetteDisposteLarghe_FilaSingola.jpg	0	1	1	0	0	0	-45	45
GRA_PIG_1_CENTR	310	350	300	250	80	0	0	0	180	180	RT:   RETTANGOLARE	1	1	PILA	/Assets/Pattern/Dimensione/Dimensione_Grande_180mm.jpg	/Assets/Pattern/Forme/FormaPilaCentrale.jpg	/Assets/Pattern/Disposizione/DisposizionePilaCentrale.jpg	0	1	1	0	0	0.5	-45	-30
GRA_ROSA_CENTR	310	350	300	300	80	0	0	0	180	180	RT:   RETTANGOLARE	8	1	ROSA	/Assets/Pattern/Dimensione/Dimensione_Grande_180mm.jpg	/Assets/Pattern/Forme/FormaFetteCircolare.jpg	/Assets/Pattern/Disposizione/FetteDisposizioneCircolare.jpg	70	1	1	20	0	0	29	15
GRA_RET_SF_1_VERT	310	350	300	250	80	0	0	0	250	180	RT:   RETTANGOLARE	1	8	RETTANGOLARE	/Assets/Pattern/Dimensione/Dimensione_Grande_250x180mm.jpg	/Assets/Pattern/Forme/Forma_Grande_250x180mm.jpg	/Assets/Pattern/Disposizione/FetteDisposteLarghe_FilaSingola.jpg	50	1	1	0	0	0	-44	45
PIC_PIG_1_CENTR	310	350	250	250	80	0	0	0	60	60	RT:   RETTANGOLARE	1	1	PILA	/Assets/Pattern/Dimensione/Dimensione_Piccolo_60mm.jpg	/Assets/Pattern/Forme/FormaPilaCentrale.jpg	/Assets/Pattern/Disposizione/DisposizionePilaCentrale.jpg	0	1	1	0	0	1	50	-70
PIC_SF_2_ORIZ	310	350	250	145	80	0	0	0	60	60	RT:   RETTANGOLARE	8	2	RETTANGOLARE	/Assets/Pattern/Dimensione/Dimensione_Piccolo_60mm.jpg	/Assets/Pattern/Forme/FormaOrizzontaleCentrata.jpg	/Assets/Pattern/Disposizione/FetteDisposteLarghe_FilaDoppia_90g.jpg	145	1	1	0	0	0	20	0
